Date,Open,High,Low,Close,Volume,Market Cap
Dec-30-2021,47139.359,48505.9997,45712.56659,46304.94959,78100267492,894565347308
Dec-31-2021,46198.20378,47840.31079,46198.20378,47544.4994,99413619769,891181081069
Jan-01-2022,47722.9397,47869.1107,46702.7539,47313.6322,74535852089,893627342142
Jan-02-2022,47311.9467,47514.36002,45703.02807,46424.346,115996952164,885723263176
Jan-03-2022,46412.0796,47493.9931,45705.03899,45884.45966,74674146005,878429374359
Jan-04-2022,45850.55626,46991.0055,42500.0486,43529.7281,109144957241,868515207994
Jan-05-2022,43403.542,43733.3165,42596.1224,43119.06386,111270290375,815464759259
Jan-06-2022,43136.99445,43136.99445,41019.06565,41512.9242,88215244174,794822609638
Jan-07-2022,41543.1601,42298.4795,40642.1986,41752.93,85660416754,789225148272
Jan-08-2022,41686.15811,42687.53151,41375.0263,41880.90095,70389962012,792884797916
Jan-09-2022,41841.86352,42217.654,39782.07448,41786.2184,95449311303,787404507138
Jan-10-2022,41835.6622,43049.98235,41284.8914,42674.2972,74616303445,798516202519
Jan-11-2022,42710.8475,44168.1279,42470.15004,43900.027,54479088242,817199869442
Jan-12-2022,43888.844,44290.04229,42334.35469,42580.3303,50948501191,821822974370
Jan-13-2022,42549.959,43387.73825,41808.15116,43068.72658,62549530396,808978928444
Jan-14-2022,43061.11596,43728.0129,42642.32323,43145.30763,62347797020,816280344977
Jan-15-2022,43099.97907,43421.9567,42609.7049,43104.67713,56378730624,815612565453
Jan-16-2022,43072.25578,43120.0792,41583.01487,42199.00911,69711029248,805222595769
Jan-17-2022,42229.52722,42582.4259,41329.6296,42352.1359,53607842418,793765659207
Jan-18-2022,42373.5257,42472.49707,41204.17481,41676.49878,53128314580,793440774217
Jan-19-2022,41697.05934,43443.98497,40630.03387,40673.94412,49528825060,799069350718
Jan-20-2022,40721.94741,41050.38991,35728.0153,36400.668,86773141888,732232020498
Jan-21-2022,36452.3925,36690.31765,34299.96242,35015.93463,105799073362,672308016425
Jan-22-2022,35044.33393,36411.91505,34692.1279,36231.1426,81586496356,670661229999
Jan-23-2022,36245.2641,37205.164,33111.2351,36705.9179,75077380196,664425424142
Jan-24-2022,36637.1927,37434.6761,35719.34835,36948.63103,91347141964,691210079788
Jan-25-2022,36948.83937,38891.8252,36306.58597,36775.5295,63422975943,709933063606
Jan-26-2022,36786.69371,37201.84235,35519.974,37201.84235,72166742215,688422851104
Jan-27-2022,37062.96443,37929.9448,36168.92719,37784.7229,57734635207,701591357896
Jan-28-2022,37741.9284,38577.9963,37369.20977,38131.8236,43358998030,716194744589
Jan-29-2022,38161.92909,38287.7546,37412.2481,37937.339,34793417166,718755992119
Jan-30-2022,37913.2395,38669.2589,36692.12497,38472.00624,55549798962,711351011645
Jan-31-2022,38465.16237,39210.26203,38103.1383,38761.9683,56064105714,730374447012
Feb-01-2022,38699.1814,38809.5321,36705.01112,36835.9015,53890737621,720655977541
Feb-02-2022,36876.007,37100.84845,36319.96225,37027.78,48461561216,697161963181
Feb-03-2022,37282.736,41653.56036,37045.65078,41653.56036,55437962574,732289923801
Feb-04-2022,41556.70335,41870.0706,41040.98195,41360.0538,78108918926,786562949421
Feb-05-2022,41426.2539,42487.83558,41247.1275,42388.07234,47310906873,788074594408
Feb-06-2022,42396.15324,44462.4328,41672.92921,43905.99798,55562600875,816605884545
Feb-07-2022,43837.65656,45404.65555,42712.32222,44082.39258,73991938261,830883774189
Feb-08-2022,44017.46576,44748.5419,43160.2133,44283.9142,68034018631,832281102950
Feb-09-2022,44376.4542,45648.6513,43255.4943,43524.37792,65554357845,839930914682
Feb-10-2022,43510.53408,43896.2443,42067.4742,42377.6527,86770612437,818182947265
Feb-11-2022,42374.9792,42963.41502,41791.9532,42126.3511,65888611477,802248285937
Feb-12-2022,42181.8713,42713.9205,41891.593,42235.5136,39865657948,802407091556
Feb-13-2022,42046.3787,42770.0602,41661.35169,42594.9419,47232394517,800465237038
Feb-14-2022,42550.18171,44701.42103,42480.31932,44602.5315,58821263488,831732771858
Feb-15-2022,44522.9589,44522.9589,43367.6442,43997.7116,51244306560,833896616078
Feb-16-2022,43874.0659,44101.5051,40214.02227,40491.0412,59257593216,808358041670
Feb-17-2022,40528.1251,40924.09716,39629.33836,39976.23595,67854684189,765918052415
Feb-18-2022,39991.16762,40427.21165,39652.0096,40112.55953,50941849785,759529015275
Feb-19-2022,40096.00167,40100.0429,38077.0408,38464.8528,39952153991,734771306231
Feb-20-2022,38362.69454,39402.35077,36922.0285,37003.15356,57203595477,729866202965
Feb-21-2022,37060.00781,38337.8251,36444.81827,38302.8439,81464065636,709288617553
Feb-22-2022,38227.7774,39158.3401,37088.33878,37287.48634,108954655659,724585419658
Feb-23-2022,37216.40439,39132.7827,34408.52933,38296.16593,130682462236,685030805141
Feb-24-2022,38329.38683,39616.9516,38054.57113,39219.47676,85942038343,736163298231
Feb-25-2022,39226.46287,39970.48946,38606.4515,39033.5353,53525292772,743680328774
Feb-26-2022,39091.9507,39773.25674,37129.65641,37714.48389,46101678642,734004325756
Feb-27-2022,37703.77404,43716.57005,37513.31817,43181.1437,68880211740,747149243496
Feb-28-2022,43182.0054,44788.0749,42934.4426,44359.8712,92935896889,827710306554
Mar-01-2022,44404.9179,45173.5809,43387.8769,43938.47684,77745565525,835633793464
Mar-02-2022,43901.74614,44035.45904,41862.5181,42450.88343,66512987511,818020318281
Mar-03-2022,42465.00663,42498.51626,38732.82492,39120.0424,73188777467,776819353264
Mar-04-2022,39144.65309,39576.6006,38750.39689,39409.21247,59407483445,742730898449
Mar-05-2022,39399.035,39637.1481,38155.2867,38385.18525,40023234667,740361513819
Mar-06-2022,38398.93546,39399.96846,37172.81813,37991.87947,61781654514,725961264635
Mar-07-2022,38021.16231,39333.7131,38021.16231,38724.82009,87695148501,733186143517
Mar-08-2022,38741.22398,42508.69721,38680.08468,41955.06532,81739633849,788164037667
Mar-09-2022,41950.43524,42002.18786,38770.03143,39461.35102,117700388864,751963347858
Mar-10-2022,39427.62799,40118.98829,38291.8488,38770.04591,73106728690,739416933555
Mar-11-2022,38729.04139,39321.4025,38722.9222,38875.98605,56650400299,742192664746
Mar-12-2022,38803.98637,39220.9441,37670.38924,37824.35153,33924499228,738309972283
Mar-13-2022,37784.66665,39808.38173,37590.8815,39599.02437,47001002610,735083105285
Mar-14-2022,39669.01847,39805.39961,38230.9419,39302.01679,54149954759,740438348992
Mar-15-2022,39301.17956,41538.6006,38964.63682,41147.27989,74235084060,763561055615
Mar-16-2022,41115.36918,41306.80617,40600.029,40958.22516,68916952832,776343262406
Mar-17-2022,40912.96043,42231.7199,40255.88647,41767.09817,53167419719,777374367215
Mar-18-2022,41752.50102,42357.0528,41585.95812,42166.22954,47396630066,794482952303
Mar-19-2022,42207.51024,42279.9997,40980.51146,41252.05199,39440414009,790398950959
Mar-20-2022,41219.86354,41498.26617,40534.25117,41051.83346,48679170660,780302969090
Mar-21-2022,41064.53843,43176.92782,40940.05474,42376.74422,66069747399,805991263114
Mar-22-2022,42362.02323,42925.97798,41810.05689,42925.97798,55434469876,802216470987
Mar-23-2022,42901.78799,44196.38125,42726.38466,43948.89113,58305154460,822842858826
Mar-24-2022,43997.59787,45054.744,43775.9828,44365.18255,64975617209,840819908971
Mar-25-2022,44314.41581,44769.8851,44162.89066,44533.21742,52033351154,843029009115
Mar-26-2022,44532.13385,46842.71955,44438.29619,46842.71955,38989618745,853605708449
Mar-27-2022,46824.60641,48129.97387,46711.00479,46888.22115,72557284891,898470120346
Mar-28-2022,47086.20129,47988.53829,47032.00503,47498.66565,64970232761,903107803450
Mar-29-2022,47442.24333,47686.71894,46698.33856,47100.45937,60347299812,897335595158
Mar-30-2022,47055.99305,47559.98455,45380.4937,45540.82639,64306786076,886483715249
Mar-31-2022,45520.19684,46608.67518,44376.97933,46231.00476,82428634330,864912314319
Apr-01-2022,46249.9684,47025.37805,45768.23516,45845.95756,68534723186,882428839236
Apr-02-2022,45793.52919,47331.9547,45556.13118,46430.69671,53182050972,880120047930
Apr-03-2022,46429.49649,46853.4882,45201.06871,46605.60297,75797947520,874912902659
Apr-04-2022,46598.16005,47143.74184,45573.53741,45573.53741,107956835470,880592114003
Apr-05-2022,45479.96945,45479.96945,43138.51947,43138.51947,82230669555,847920145406
Apr-06-2022,43154.77454,43855.3637,42814.9482,43480.17472,75865888668,825828787135
